Entity,Code,Year,Forest cover
Mozambique,MOZ,2020,46.72519646990005
Myanmar,MMR,2020,43.72599151335039
Namibia,NAM,2020,8.063865709531271
Nauru,NRU,2020,0.0
Nepal,NPL,2020,41.59072200906871
Netherlands,NLD,2020,10.974160974160974
New Caledonia,NCL,2020,45.84354485776805
New Zealand,NZL,2020,37.57012646690213
Nicaragua,NIC,2020,28.31585507728104
Niger,NER,2020,0.8523723059919476
Nigeria,NGA,2020,23.74578653227489
Niue,NIU,2020,72.57692307692308
Norfolk Island,NFK,2020,12.25
North Korea,PRK,2020,50.07964454779504
North Macedonia,MKD,2020,39.7101506740682
Northern Mariana Islands,MNP,2020,52.95652173913044
Norway,NOR,2020,33.358625269689966
Oman,OMN,2020,0.0080775444264943
Pakistan,PAK,2020,4.833307388958074
Palau,PLW,2020,90.02173913043478
Palestine,PSE,2020,1.684385382059801
Panama,PAN,2020,56.85159201295197
Papua New Guinea,PNG,2020,79.17625756304378
Paraguay,PRY,2020,40.52922225018877
Peru,PER,2020,56.5081015625
Philippines,PHL,2020,24.109031760405134
Pitcairn,PCN,2020,74.46808510638297
Poland,POL,2020,30.970965740226656
Portugal,PRT,2020,36.15499489114203
Puerto Rico,PRI,2020,55.956031567080046
Qatar,QAT,2020,0.0
Romania,ROU,2020,30.115829276773297
Russia,RUS,2020,49.784336078872215
Rwanda,RWA,2020,11.187677340899878
Saint Helena,SHN,2020,5.128205128205128
Saint Kitts and Nevis,KNA,2020,42.30769230769231
Saint Lucia,LCA,2020,34.04918032786885
Saint Pierre and Miquelon,SPM,2020,5.304347826086957
Saint Vincent and the Grenadines,VCT,2020,73.17948717948718
Samoa,WSM,2020,57.12720848056536
San Marino,SMR,2020,16.666666666666664
Sao Tome and Principe,STP,2020,54.0625
Saudi Arabia,SAU,2020,0.4544841349217794
Senegal,SEN,2020,41.90598867708928
Serbia,SRB,2020,31.13023096272582
Seychelles,SYC,2020,73.2608695652174
Sierra Leone,SLE,2020,35.11886949293434
Singapore,SGP,2020,21.960507757404795
Sint Maarten (Dutch part),SXM,2020,10.882352941176473
Slovakia,SVK,2020,40.056156405990016
Slovenia,SVN,2020,61.4670698824616
Solomon Islands,SLB,2020,90.13826366559483
Somalia,SOM,2020,9.532311027512993
South Africa,ZAF,2020,14.055090718743044
South Korea,KOR,2020,64.47543841657266
South Sudan,SSD,2020,11.325369168740371
Spain,ESP,2020,37.17799724090219
Sri Lanka,LKA,2020,34.139886578449904
Sudan,SDN,2020,9.92816529752172
Suriname,SUR,2020,97.4121153846154
Sweden,SWE,2020,68.69460607399769
Switzerland,CHE,2020,32.11633354868898
Syria,SYR,2020,2.843108424549366
Tajikistan,TJK,2020,3.053534116290799
Tanzania,TZA,2020,51.64258297584104
Thailand,THA,2020,38.89878447415295
Togo,TGO,2020,22.23331494760066
Tokelau,TKL,2020,0.0
Tonga,TON,2020,12.430555555555554
Trinidad and Tobago,TTO,2020,44.48148148148148
Tunisia,TUN,2020,4.523236354273945
Turkey,TUR,2020,28.87148369995972
Turkmenistan,TKM,2020,8.782159044964144
Turks and Caicos Islands,TCA,2020,11.073684210526316
Tuvalu,TUV,2020,33.33333333333333
Uganda,UGA,2020,11.659186116098146
Ukraine,UKR,2020,16.727084412221647
United Arab Emirates,ARE,2020,4.467755561813574
United Kingdom,GBR,2020,13.185632207663373
United States,USA,2020,33.86692641203749
United States Virgin Islands,VIR,2020,56.885714285714286
Uruguay,URY,2020,11.604388069934863
Uzbekistan,UZB,2020,8.374418673269979
Vanuatu,VUT,2020,36.28383921246924
Vatican,VAT,2020,0.0
Venezuela,VEN,2020,52.41301513519642
Vietnam,VNM,2020,47.22511045892863
Western Sahara,ESH,2020,2.500263157894737
Yemen,YEM,2020,1.03983180862549
Zambia,ZMB,2020,60.28333714470197
Zimbabwe,ZWE,2020,45.09391236913533
